Wall time,Step,Value
1491609820.369685,505300,16683.427734375
1491609885.79619,505500,16778.94140625
1491609950.991452,505700,16695.23828125
1491610114.964606,506200,16989.376953125
1491610245.596642,506600,16611.7421875
1491610541.236644,507500,16451.59375
1491610868.918613,508500,16591.744140625
1491611164.23494,509400,16889.97265625
1491611294.977174,509800,16444.59375
1491611754.478704,511200,16370.7275390625
1491611983.586266,511900,17017.6015625
1491612410.150486,513200,16835.25390625
1491612573.982546,513700,16371.1142578125
1491612869.408023,514600,16170.0947265625
1491612934.888154,514800,16915.728515625
1491613000.085572,515000,17198.4375
1491613033.291729,515100,17365.3515625
1491613098.801106,515300,16890.658203125
1491613294.763327,515900,16637.98828125
1491613361.056055,516100,16782.970703125
1491613426.537172,516300,17324.080078125
1491613459.739973,516400,16898.81640625
1491613524.940881,516600,16818.7265625
1491613721.089112,517200,16784.41015625
1491614215.250762,518700,16636.349609375
1491614675.42153,520100,16333.876953125
1491614807.783805,520500,16662.84765625
1491614906.683743,520800,16885.203125
1491614939.11859,520900,16798.48046875
1491615235.694153,521800,16491.49609375
1491615499.241603,522600,16769.484375
1491615663.648663,523100,16798.853515625
1491615828.239317,523600,16254.451171875
1491615860.446427,523700,16344.1884765625
1491616124.080347,524500,16950.248046875
1491616387.24332,525300,16844.89453125
1491616782.216229,526500,16651.02734375
1491617718.097851,529300,16809.765625
1491618576.976296,531700,17152.19140625
1491618721.217838,532100,16840.59375
1491618758.523202,532200,16892.572265625
1491618795.660902,532300,16864.7109375
1491618907.893639,532600,16585.90234375
1491619297.726616,533700,16780.41796875
1491619615.734361,534600,17019.0234375
1491619816.823611,535200,17405.416015625
1491620768.230267,538100,17026.90625
1491620833.026118,538300,16761.048828125
1491620931.059054,538600,16795.078125
1491620995.769508,538800,16911.599609375
1491621027.955635,538900,16839.46484375
1491621679.445401,540900,16908.18359375
1491621809.35192,541300,17150.07421875
1491621842.30502,541400,16747.53125
1491622167.850166,542400,16484.359375
1491622395.969127,543100,15969.912109375
1491622428.971175,543200,16779.92578125
1491623197.253234,545500,16597.341796875
1491623604.692326,546400,16327.447265625
1491624203.762581,547400,16373.314453125
1491624608.96824,548000,17054.978515625
1491624642.724714,548100,17086.078125
1491624708.257322,548300,16707.15234375
1491625099.192002,549500,16963.8125
1491625197.256954,549800,16889.849609375
1491625327.937491,550200,16528.04296875
1491625783.228497,551600,16552.888671875
1491625816.219733,551700,17236.248046875
1491626011.955957,552300,16906.583984375
1491626304.5493,553200,16866.123046875
1491626402.445036,553500,16896.248046875
1491626565.296597,554000,17381.51953125
1491626792.854091,554700,16663.55078125
1491627249.300939,556100,16808.203125
1491627444.857262,556700,16864.359375
1491627541.708131,557000,16567.43359375
1491627639.390121,557300,16650.912109375
1491627737.38803,557600,16543.345703125
1491628062.890657,558600,16870.7734375
1491628258.685669,559200,16412.951171875
1491628388.566655,559600,16870.841796875
1491628486.242322,559900,16445.388671875
1491628551.302365,560100,16713.71875
1491628942.646367,561300,16830.486328125
1491629072.529823,561700,17189.505859375
1491629170.233505,562000,16764.58203125
1491629332.964223,562500,16414.73828125
1491629919.235893,564300,16976.44140625
1491630081.91677,564800,16661.13671875
1491630146.617501,565000,16630.505859375
1491630244.614529,565300,16632.90234375
1491630309.394613,565500,16458.38671875
1491630538.058029,566200,16489.904296875
1491630798.789345,567000,16801.185546875
1491631124.468529,568000,16474.83203125
1491631156.339345,568100,16743.841796875
1491631189.267669,568200,16484.599609375
1491631319.09633,568600,16513.796875
1491631514.797499,569200,16806.72265625
1491631677.460769,569700,16845.375
1491631808.267966,570100,16745.58984375
1491631938.022652,570500,16469.228515625
1491633012.062534,573800,16676.310546875
1491633240.611599,574500,17029.107421875
1491633370.453604,574900,16851.39453125
1491633403.429313,575000,16799.240234375
1491633695.837606,575900,16905.736328125
1491633858.562354,576400,16969.5546875
1491634152.404014,577300,16572.12109375
1491634380.014059,578000,16898.025390625
1491634412.97485,578100,16602.818359375
1491635389.229867,581100,17088.853515625
1491635845.504958,582500,16369.99609375
1491636170.963376,583500,16579.6171875
1491636202.801006,583600,16797.30078125
1491636300.861136,583900,16560.25390625
1491637440.775579,587400,16850.671875
1491637733.444845,588300,16799.830078125
1491637831.48694,588600,16764.423828125
1491637864.434674,588700,16472.05078125
1491638190.037783,589700,17209.73046875
1491638580.510772,590900,16479.74609375
1491639492.20099,593700,17118.27734375
1491639622.884565,594100,16870.8203125
1491639752.800805,594500,17159.171875
1491639785.78347,594600,16650.462890625
1491640078.426232,595500,17132.36328125
1491640209.323689,595900,16767.09765625
1491640535.071462,596900,16786.88671875
